MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59591.50451715	>20.12	0.0	7.1477884652906525	16.355109200241323	o	>20.12	1.09	170.420820357143	20.1747992857143	6063.14	2359.69	2.23	1.96	>20.12	-0.4457	19.24	182.2	02a59591o0642o
59591.51235535	>20.22	0.0	5.61931642833929	14.944990500902364	o	>20.22	1.42	170.420820357143	20.1747992857143	6044.34	2476.55	2.21	1.95	>20.22	-0.4477	19.28	183.1	02a59591o0659o
59591.53104645	>20.42	0.0	-13.055043266605642	12.342949997518064	o	>20.42	1.25	170.420820357143	20.1747992857143	6084.76	2418.62	2.21	1.95	>20.42	-0.4427	19.41	182.2	02a59591o0699o
59593.47333145	>19.73	0.0	17.19345627607167	23.349138152689928	o	>19.73	0.9	170.420820357143	20.1747992857143	7426.23	1953.46	3.06	2.9	>19.73	-0.4447	18.83	180.8	01a59593o0596o
59593.47656435	>19.69	0.0	-32.064604193453455	24.387163752767425	o	>19.69	1.13	170.420820357143	20.1747992857143	7407.32	1915.24	3.16	2.96	>19.69	-0.4527	18.8	181.2	01a59593o0603o
59593.48350025	>19.79	0.0	14.495924597498833	22.402792559770923	o	>19.79	0.98	170.420820357143	20.1747992857143	7469.22	1990.46	3.11	2.92	>19.79	-0.4567	18.87	181.4	01a59593o0618o
59593.50787655	>19.73	0.0	-16.437816713965532	23.06596861475808	o	>19.73	1.03	170.420820357143	20.1747992857143	7496.1	1872.24	3.46	3.26	>19.73	-0.4287	18.83	179.3	01a59593o0668o
59596.21727727	>18.41	0.0	-59.60804478168403	71.7556558035438	o	>18.41	1.03	170.420820357143	20.1747992857143	771.18	1788.5	3.12	2.76	>18.41	-0.3467	17.48	194.0	04a59596o0282o
59596.22051962	>18.59	0.0	-5.7178959307748825	60.27615293691854	o	>18.59	0.97	170.420820357143	20.1747992857143	763.8	1749.08	3.01	2.59	>18.59	-0.3327	17.64	198.4	04a59596o0289o
59596.22610999	>18.64	0.0	15.13263200703429	57.456712151708324	o	>18.64	1.27	170.420820357143	20.1747992857143	849.59	1826.08	3.03	2.57	>18.64	-0.3337	17.69	213.5	04a59596o0301o
59596.23581334	>18.66	0.0	-71.17056820165799	55.93673420531646	o	>18.66	1.03	170.420820357143	20.1747992857143	918.31	1709.57	3.2	2.53	>18.66	-0.3197	17.73	191.8	04a59596o0322o
59597.44181335	>18.67416028899197	0.0	49.66832028727988	41.048198584528826	o	>18.67416028899197	1.16	170.420820357143	20.1747992857143	7423.64	1959.61	2.94	2.8	>18.67416028899197	-0.4807	18.25	178.4	01a59597o0526o
59597.44504545	>19.27	0.0	-108.08447427295842	37.30349112075556	o	>19.27	1.11	170.420820357143	20.1747992857143	7404.37	1923.53	2.85	2.67	>19.27	-0.4927	18.27	177.0	01a59597o0533o
59597.44780805	>19.19	0.0	-22.26822466856209	40.00397882936376	o	>19.19	1.07	170.420820357143	20.1747992857143	7464.3	1997.09	2.89	2.74	>19.19	-0.4837	18.3	179.4	01a59597o0539o
59597.45429315	>19.3	0.0	9.15790089236347	36.07091575971734	o	>19.3	0.83	170.420820357143	20.1747992857143	7485.49	1882.09	2.81	2.68	>19.3	-0.4857	18.33	180.3	01a59597o0553o
59597.98636535	>18.281105718453517	0.0	128.82651239289362	58.67346108983274	o	>18.281105718453517	0.93	170.420820357143	20.1747992857143	9378.08	327.77	3.32	2.41	>18.281105718453517	-0.3697	17.72	181.4	03a59598o0425o
