###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58082.550516 -21.766  1.490    -7   11 c  0   1.39 136.46285  -8.58543  4609.67 10346.34 2.66 2.34  25.7 -0.443 19.70 21.41 02a58082o0765c
58082.556126  24.013  9.667     1    9 c  0   1.31 136.46285  -8.58543   778.27   678.69 2.73 2.44  40.7 -0.470 19.65 21.41 02a58082o0777c
58082.558476  20.046  0.537    35   19 c  0   0.92 136.46285  -8.58543  4588.67 10466.27 2.67 2.32  29.8 -0.448 19.76 21.48 02a58082o0782c
58082.564122  21.477  0.985     9    9 c  0   1.22 136.46285  -8.58543   757.84   798.21 2.65 2.34  45.1 -0.492 19.77 21.46 02a58082o0794c
58092.514756 -22.116  7.261    -5   38 o  0   1.38 136.46285  -8.58543   383.02  8776.95 3.54 3.02 -84.5 -0.387 18.41 19.27 01a58092o0694o
58092.522892 -20.381  1.496   -26   38 o  0   0.89 136.46285  -8.58543   360.62  8713.99 3.48 2.86 -87.4 -0.390 18.49 19.30 01a58092o0711o
58092.524275  21.254  2.633    11   30 o  0   1.62 136.46285  -8.58543 10149.43  8716.13 3.86 2.91 -85.4 -0.373 18.50 19.33 01a58092o0714o
58092.530933 -20.591  1.726   -21   36 o  0   1.16 136.46285  -8.58543   416.40  8768.40 3.52 2.98  89.7 -0.396 18.44 19.34 01a58092o0728o
58092.532419 -20.192  1.298   -30   40 o  0   0.97 136.46285  -8.58543 10126.03  8652.38 4.02 3.02 -87.3 -0.368 18.49 19.38 01a58092o0731o
58092.539028 -19.880  0.889   -41   36 o  0   1.19 136.46285  -8.58543   433.75  8625.59 3.37 2.87 -84.4 -0.393 18.53 19.39 01a58092o0745o
58092.540471 -20.242  1.178   -29   34 o  0   0.96 136.46285  -8.58543 10182.62  8705.16 3.94 3.05 -85.8 -0.352 18.48 19.42 01a58092o0748o
58092.548634  21.039  2.345    14   33 o  0   1.19 136.46285  -8.58543 10197.36  8560.63 4.02 3.10 -87.5 -0.347 18.49 19.47 01a58092o0765o
58096.513965  24.055 23.000     1   20 o  0   0.96 136.46285  -8.58543  2816.31  9520.48 3.33 2.92 -83.3 -0.444 18.95 20.23 01a58096o0703o
58096.521045 -21.372  1.750   -10   18 o  0   1.24 136.46285  -8.58543  2794.35  9459.41 3.19 2.77 -82.1 -0.452 18.98 20.22 01a58096o0718o
58096.528085 -22.239  3.958    -5   18 o  0   1.42 136.46285  -8.58543  2850.25  9515.14 3.15 2.73 -80.7 -0.458 19.02 20.25 01a58096o0733o
58096.535256 -20.553  0.959   -22   21 o  0   0.95 136.46285  -8.58543  2867.30  9374.27 3.26 3.16 -87.2 -0.426 18.89 20.28 01a58096o0748o
58098.513073  21.673  2.375     8   18 o  0   0.92 136.46285  -8.58543  9892.31   824.90 2.92 2.06  49.8 -0.456 19.30 20.29 02a58098o0696o
